EMPID, AnnualIncomeNeeded ,Age,DistanceFromHome,Education,EnvironmentSatisfaction,JobInvolvement,JobLevel,JobSatisfaction,NumCompaniesWorked,AvgOverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOption,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,DiffFromSalary, CurrentSalary 
66," 124,800 ",22,119,3,4,4,1,2,1,6,0.16,3,1,1,4,2,2,4,2,2,2," 26,258 "," 98,542 "
146," 151,840 ",36,108,1,2,3,1,4,1,3,0.13,3,1,0,8,2,3,8,1,1,7," 23,702 "," 128,138 "
2658," 131,040 ",40,118,5,4,2,2,4,9,9,0.14,3,4,1,5,5,1,3,2,0,2," 23,980 "," 107,060 "
138," 201,760 ",46,119,4,4,3,3,1,7,1,0.16,3,3,1,17,3,3,4,2,0,3," 39,061 "," 162,699 "
2928," 66,560 ",32,78,4,4,1,3,4,1,12,0.11,3,3,0,14,2,2,14,8,9,8," 8,506 "," 58,054 "
2," 183,040 ",30,78,1,3,2,3,3,1,14,0.22,4,3,0,12,2,3,11,8,5,8," 48,835 "," 134,205 "
1892," 187,200 ",27,85,3,4,3,2,3,1,10,0.14,3,4,0,7,2,3,7,7,0,7," 35,868 "," 151,332 "
2580," 168,480 ",51,38,4,2,2,3,2,5,7,0.16,3,4,2,16,5,1,10,9,4,7," 34,033 "," 134,447 "
2242," 183,040 ",30,29,3,4,3,1,1,5,9,0.11,3,3,0,8,5,3,5,2,0,4," 26,651 "," 156,389 "
1700," 156,000 ",41,35,3,4,3,3,4,3,7,0.18,3,3,0,16,3,3,1,0,0,0," 34,476 "," 121,524 "
1870," 108,160 ",30,31,4,3,2,2,1,5,1,0.15,3,3,0,9,5,2,6,3,0,1," 18,982 "," 89,178 "
2756," 176,800 ",29,18,3,3,3,1,3,0,15,0.14,3,4,0,7,1,2,6,2,1,5," 33,875 "," 142,925 "
1216," 118,560 ",45,53,3,4,2,3,4,6,11,0.12,3,4,0,23,2,3,19,7,12,8," 19,444 "," 99,116 "
1016," 108,160 ",54,104,3,4,3,2,1,2,15,0.14,3,4,1,16,4,3,6,2,0,5," 18,863 "," 89,297 "
172," 128,960 ",36,94,2,4,3,2,2,8,15,0.16,3,4,0,16,3,4,13,11,3,7," 26,050 "," 102,910 "
308," 97,760 ",33,70,4,3,2,1,2,6,3,0.21,4,4,0,7,3,3,3,2,1,1," 25,163 "," 72,597 "
1116," 97,760 ",37,18,3,2,3,3,4,1,8,0.14,3,3,3,10,1,3,10,8,0,7," 17,890 "," 79,870 "
994," 158,080 ",38,40,3,1,3,3,3,0,5,0.12,3,3,2,17,6,2,16,10,5,13," 23,143 "," 134,937 "
506," 187,200 ",31,77,4,3,1,2,3,0,14,0.12,3,4,1,6,2,3,5,4,1,4," 32,348 "," 154,852 "
1726," 145,600 ",59,71,3,3,2,1,4,3,2,0.17,3,1,1,7,6,3,1,0,0,0," 32,003 "," 113,597 "
1884," 85,280 ",37,95,4,1,3,1,4,4,4,0.17,3,3,1,13,2,3,9,8,5,8," 18,745 "," 66,535 "
1478," 87,360 ",29,115,1,2,3,3,4,1,6,0.14,3,4,1,11,5,3,11,10,4,1," 16,738 "," 70,622 "
1984," 191,360 ",35,102,3,3,3,3,3,1,13,0.14,3,1,0,10,3,4,10,7,0,8," 33,373 "," 157,987 "
2018," 178,880 ",29,117,1,3,2,1,4,1,7,0.13,3,3,0,4,3,2,4,3,0,1," 29,479 "," 149,401 "
1302," 185,120 ",52,64,3,3,2,1,4,7,15,0.15,3,2,0,6,3,2,2,2,2,2," 35,636 "," 149,484 "
1504," 120,640 ",42,108,2,3,3,5,4,1,11,0.11,3,4,0,22,3,3,22,17,11,15," 19,713 "," 100,927 "
1468," 108,160 ",59,45,2,2,3,1,3,8,6,0.17,3,4,0,7,2,2,2,2,2,2," 21,978 "," 86,182 "
1054," 141,440 ",50,89,4,4,3,5,4,3,7,0.11,3,3,1,32,3,2,7,0,0,6," 19,335 "," 122,105 "
2456," 120,640 ",33,9,3,3,3,1,4,5,6,0.13,3,3,1,8,2,1,5,4,0,4," 20,931 "," 99,709 "
588," 166,400 ",43,31,3,4,3,4,4,5,8,0.22,4,3,1,22,3,3,17,13,1,9," 39,204 "," 127,196 "
2444," 81,120 ",33,97,2,1,3,1,1,7,7,0.2,4,1,0,13,3,4,9,7,1,7," 19,469 "," 61,651 "
978," 164,320 ",52,107,4,1,2,5,3,1,5,0.18,3,4,0,33,2,4,33,7,15,12," 33,620 "," 130,700 "
872," 116,480 ",32,103,2,3,3,1,2,2,10,0.11,3,1,1,6,5,3,4,3,1,2," 15,923 "," 100,557 "
436," 128,960 ",32,97,3,4,2,1,3,0,5,0.14,3,4,0,4,2,1,3,2,1,2," 20,273 "," 108,687 "
1952," 199,680 ",39,32,4,3,3,1,3,7,2,0.14,3,3,3,7,1,3,3,2,1,2," 36,541 "," 163,139 "
132," 208,000 ",32,34,4,3,3,2,4,0,14,0.18,3,1,0,4,2,3,3,2,2,2," 44,262 "," 163,738 "
464," 74,880 ",41,112,2,3,3,2,1,2,3,0.16,3,1,2,17,2,2,1,0,0,0," 15,126 "," 59,754 "
2408," 128,960 ",40,92,2,1,3,2,4,1,10,0.17,3,1,2,9,3,3,9,8,4,7," 26,205 "," 102,755 "
1358," 145,600 ",45,67,3,3,4,5,4,0,9,0.11,3,3,1,25,2,3,24,0,1,7," 23,791 "," 121,809 "
1540," 151,840 ",31,57,4,2,3,3,3,9,8,0.12,3,1,1,9,3,3,2,2,2,2," 22,229 "," 129,611 "
2762," 131,040 ",33,54,4,3,2,1,4,1,7,0.13,3,3,1,2,2,2,2,2,0,2," 20,455 "," 110,585 "
1904," 174,720 ",34,88,4,4,2,2,1,6,14,0.13,3,2,1,13,3,3,11,9,5,9," 25,754 "," 148,966 "
242," 172,640 ",37,28,2,3,2,1,1,2,4,0.14,3,1,1,17,2,2,3,1,0,2," 33,078 "," 139,562 "
2088," 160,160 ",45,83,4,1,4,2,3,4,15,0.17,3,4,1,9,1,3,3,2,0,2," 33,874 "," 126,286 "
1148," 126,880 ",37,20,3,1,3,3,3,6,14,0.11,3,2,2,17,5,3,1,0,0,0," 19,603 "," 107,277 "
672," 133,120 ",39,20,4,3,3,3,3,0,11,0.25,4,4,0,20,1,3,19,6,11,8," 35,277 "," 97,843 "
456," 124,800 ",29,53,3,3,3,1,4,1,6,0.19,3,1,0,6,1,3,6,5,1,5," 29,777 "," 95,023 "
828," 170,560 ",42,8,2,4,4,2,1,3,14,0.13,3,3,0,10,1,3,3,2,0,2," 29,592 "," 140,968 "
1018," 93,600 ",29,29,2,4,3,2,4,2,4,0.14,3,4,1,10,2,3,3,2,0,2," 17,934 "," 75,666 "
510," 128,960 ",25,122,3,1,3,2,3,0,3,0.12,3,4,2,5,3,3,4,2,1,2," 17,745 "," 111,215 "
440," 116,480 ",42,61,3,4,2,1,1,0,7,0.11,3,3,1,10,4,3,9,6,7,8," 19,033 "," 97,447 "
1072," 101,920 ",40,31,2,1,3,5,3,0,12,0.19,3,4,1,22,5,3,21,7,3,9," 22,667 "," 79,253 "
498," 199,680 ",51,63,3,3,3,1,4,1,12,0.11,3,2,0,1,0,2,1,0,0,0," 32,628 "," 167,052 "
1562," 147,680 ",31,67,2,3,2,1,2,0,4,0.11,3,2,0,6,2,4,5,4,1,4," 21,502 "," 126,178 "
1334," 208,000 ",32,59,3,2,4,1,2,1,12,0.2,4,3,0,5,3,1,5,1,0,3," 44,928 "," 163,072 "
494," 81,120 ",38,103,2,4,2,2,4,3,6,0.18,3,4,1,13,0,3,8,7,7,5," 15,932 "," 65,188 "
2348," 174,720 ",32,25,1,4,2,2,1,4,14,0.13,3,4,0,9,5,3,6,2,0,4," 25,754 "," 148,966 "
760," 156,000 ",46,28,3,3,1,4,2,3,4,0.12,3,2,1,28,2,2,7,7,7,7," 24,211 "," 131,789 "
1782," 164,320 ",28,107,4,1,3,1,3,2,5,0.11,3,3,0,5,5,1,0,0,0,0," 22,463 "," 141,857 "
1048," 162,240 ",29,81,3,1,2,2,2,2,1,0.19,3,2,2,10,2,3,0,0,0,0," 38,710 "," 123,530 "
2586," 133,120 ",31,41,3,2,2,2,4,0,8,0.21,4,2,1,10,2,3,9,0,7,8," 34,265 "," 98,855 "
1252," 176,800 ",25,42,2,2,4,2,1,1,12,0.12,3,4,2,6,2,3,6,3,1,5," 25,884 "," 150,916 "
2322," 164,320 ",45,95,2,3,3,4,4,0,11,0.14,3,2,0,21,2,3,20,7,4,10," 25,831 "," 138,489 "
1476," 97,760 ",36,93,3,4,3,1,4,0,9,0.11,3,3,1,16,4,3,15,13,10,11," 13,364 "," 84,396 "
1672," 168,480 ",55,88,3,4,3,5,1,0,13,0.14,3,3,0,37,2,3,36,10,4,13," 32,281 "," 136,199 "
2146," 183,040 ",47,31,4,1,3,3,2,1,4,0.12,3,4,1,10,2,2,10,7,9,9," 31,629 "," 151,411 "
678," 195,520 ",28,67,3,4,3,1,4,1,7,0.23,4,4,1,5,3,2,5,2,0,4," 47,981 "," 147,539 "
320," 203,840 ",37,62,4,3,3,2,4,4,3,0.14,3,2,1,7,5,4,5,4,0,1," 32,044 "," 171,796 "
2936," 208,000 ",21,16,2,4,2,1,3,1,10,0.17,3,1,0,3,4,4,3,2,1,0," 45,718 "," 162,282 "
70," 166,400 ",37,20,4,1,3,3,4,2,7,0.18,3,1,2,15,2,3,5,2,0,2," 36,774 "," 129,626 "
2492," 147,680 ",35,73,3,2,4,3,2,7,8,0.18,3,2,1,10,6,2,7,7,6,2," 30,215 "," 117,465 "
326," 91,520 ",38,111,2,1,4,2,1,1,1,0.24,4,3,1,8,3,3,8,0,7,7," 26,138 "," 65,382 "
1824," 174,720 ",26,18,3,3,3,2,2,1,15,0.2,4,1,1,6,6,1,6,5,1,4," 40,535 "," 134,185 "
2696," 199,680 ",50,95,1,1,3,5,2,3,6,0.14,3,1,2,28,4,2,10,4,1,6," 34,824 "," 164,856 "
2544," 93,600 ",53,10,4,3,3,4,3,3,9,0.16,3,4,3,21,5,2,5,3,1,3," 19,693 "," 73,907 "
912," 205,920 ",42,17,1,2,3,2,3,1,3,0.25,4,3,0,20,3,3,20,16,11,6," 54,569 "," 151,351 "
2110," 91,520 ",29,45,2,2,3,2,4,1,12,0.18,3,1,0,10,3,2,10,7,0,9," 20,226 "," 71,294 "
2930," 76,960 ",55,37,2,2,3,2,4,3,3,0.19,3,4,1,12,4,3,10,7,0,8," 15,869 "," 61,091 "
1042," 124,800 ",26,13,2,1,3,2,1,1,4,0.13,3,3,1,5,3,3,5,3,3,3," 19,481 "," 105,319 "
126," 87,360 ",37,75,3,4,3,1,4,1,6,0.12,3,2,0,17,3,3,17,12,5,7," 12,790 "," 74,570 "
366," 89,440 ",44,52,3,4,3,1,3,3,1,0.22,4,4,1,19,0,1,1,0,0,0," 21,770 "," 67,670 "
1640," 170,560 ",38,19,4,4,3,2,4,9,13,0.14,3,2,1,10,2,3,2,2,1,2," 31,212 "," 139,348 "
1790," 93,600 ",26,34,4,1,3,1,2,2,9,0.13,3,4,1,5,2,3,3,2,0,2," 17,054 "," 76,546 "
2316," 137,280 ",28,73,2,4,3,1,4,1,1,0.21,4,4,0,5,3,3,5,3,0,2," 32,082 "," 105,198 "
682," 72,800 ",49,32,4,3,3,5,1,9,3,0.11,3,4,0,22,4,3,3,2,1,2," 11,248 "," 61,552 "
284," 62,400 ",36,32,3,3,3,2,2,4,14,0.12,3,4,0,10,2,3,8,0,7,7," 10,234 "," 52,166 "
838," 174,720 ",31,14,3,4,3,1,2,1,5,0.11,3,3,1,2,5,2,2,2,2,2," 25,439 "," 149,281 "
766," 99,840 ",26,56,4,4,2,2,4,1,8,0.12,3,2,0,8,0,3,8,7,7,4," 13,738 "," 86,102 "
626," 110,240 ",37,48,3,2,3,1,4,1,7,0.12,3,3,3,4,3,2,4,2,1,2," 15,169 "," 95,071 "
1532," 160,160 ",42,56,3,3,3,4,2,5,8,0.14,3,4,1,23,2,4,20,4,4,8," 25,177 "," 134,983 "
586," 112,320 ",18,17,3,3,3,1,3,1,13,0.13,3,3,0,0,2,3,0,0,0,0," 16,556 "," 95,764 "
428," 199,680 ",35,46,3,3,3,3,2,0,6,0.15,3,3,2,12,3,2,11,9,6,9," 33,347 "," 166,333 "
2850," 168,480 ",36,87,4,3,4,1,4,4,15,0.18,3,4,2,4,2,3,1,0,0,0," 38,616 "," 129,864 "
2620," 174,720 ",51,32,3,4,1,2,2,5,1,0.18,3,4,1,13,3,3,4,1,1,2," 34,315 "," 140,405 "
2910," 183,040 ",41,31,4,4,3,4,2,1,4,0.19,3,2,0,22,2,3,22,10,0,4," 42,191 "," 140,849 "
2216," 143,520 ",18,29,3,4,2,1,3,1,13,0.12,3,1,0,0,2,3,0,0,0,0," 23,537 "," 119,983 "
1150," 141,440 ",28,12,2,2,4,2,1,0,6,0.19,3,3,0,9,2,3,8,3,0,7," 31,456 "," 109,984 "
1390," 208,000 ",31,83,3,2,4,2,4,4,1,0.11,3,2,1,10,3,2,8,7,7,7," 33,987 "," 174,013 "
620," 99,840 ",39,26,3,3,4,3,4,0,2,0.17,3,1,3,19,5,2,18,10,3,7," 18,630 "," 81,210 "
122," 97,760 ",36,72,4,2,3,2,2,7,8,0.15,3,3,1,11,3,3,9,8,0,8," 17,157 "," 80,603 "
1170," 189,280 ",32,69,3,4,2,2,3,1,14,0.14,3,3,1,13,3,2,13,8,4,8," 33,010 "," 156,270 "
1144," 168,480 ",38,104,2,1,2,3,2,3,4,0.17,3,3,1,19,2,3,10,8,0,1," 31,438 "," 137,042 "
180," 66,560 ",58,63,4,4,1,2,3,2,5,0.13,3,4,1,12,2,3,5,3,1,2," 11,548 "," 55,012 "
1524," 178,880 ",31,29,4,3,3,1,4,0,8,0.12,3,3,1,6,4,3,5,2,0,3," 30,910 "," 147,970 "
656," 128,960 ",31,102,3,1,2,2,1,3,6,0.12,3,4,0,9,1,3,2,2,1,0," 20,015 "," 108,945 "
350," 201,760 ",45,110,3,1,3,3,1,1,13,0.18,3,1,1,24,2,3,24,9,9,11," 41,280 "," 160,480 "
214," 66,560 ",31,97,4,3,3,1,4,0,5,0.18,3,2,1,3,2,1,2,2,2,2," 15,256 "," 51,304 "
1310," 153,920 ",33,92,4,4,3,3,2,6,10,0.11,3,2,2,12,2,3,10,6,8,8," 23,781 "," 130,139 "
1802," 205,920 ",39,57,1,3,3,4,1,1,8,0.14,3,4,0,21,3,3,21,9,11,10," 32,371 "," 173,549 "
1378," 68,640 ",43,101,4,3,3,1,4,0,9,0.19,3,1,0,9,5,3,8,7,1,7," 16,378 "," 52,262 "
2420," 187,200 ",49,30,2,3,2,4,3,7,10,0.12,3,4,0,25,2,3,7,1,0,7," 30,701 "," 156,499 "
1922," 176,800 ",52,37,4,3,2,2,2,2,13,0.15,3,1,0,11,3,2,8,2,7,7," 35,537 "," 141,263 "
802," 176,800 ",27,94,3,3,3,1,2,1,11,0.12,3,2,0,4,2,2,4,3,1,2," 25,884 "," 150,916 "
862," 135,200 ",32,120,2,3,2,2,2,1,3,0.11,3,4,0,13,2,3,13,12,11,9," 22,092 "," 113,108 "
830," 153,920 ",27,89,3,4,3,2,3,1,13,0.11,3,1,0,5,3,3,5,4,0,4," 21,041 "," 132,879 "
1040," 151,840 ",31,101,3,4,3,2,4,4,1,0.12,3,4,3,13,3,3,7,7,1,7," 20,893 "," 130,947 "
1686," 153,920 ",32,81,4,1,4,2,4,7,11,0.16,3,3,0,10,0,2,7,7,0,7," 27,213 "," 126,707 "
1918," 174,720 ",28,105,4,1,1,1,4,5,4,0.13,3,4,0,5,4,2,3,2,2,2," 27,274 "," 147,446 "
74," 133,120 ",30,56,2,4,3,2,4,1,15,0.13,3,4,2,11,2,3,10,8,1,9," 21,938 "," 111,182 "
2440," 99,840 ",31,88,2,3,2,3,3,1,2,0.24,4,1,1,10,2,3,10,9,8,9," 25,479 "," 74,361 "
2048," 112,320 ",39,42,2,3,2,5,4,1,1,0.15,3,1,1,21,2,3,21,9,13,3," 18,757 "," 93,563 "
1140," 85,280 ",39,77,2,4,3,2,3,4,10,0.18,3,1,0,12,3,2,1,0,0,0," 19,546 "," 65,734 "
1622," 95,680 ",33,48,3,2,2,2,4,3,1,0.14,3,3,0,9,6,2,7,7,0,1," 16,687 "," 78,993 "
1860," 87,360 ",47,61,5,4,3,5,3,4,6,0.11,3,2,1,21,2,3,3,2,1,1," 11,165 "," 76,195 "
580," 170,560 ",43,13,4,3,2,2,3,1,8,0.11,3,2,1,9,3,4,9,7,0,0," 24,834 "," 145,726 "
1008," 151,840 ",27,76,1,3,3,2,2,0,3,0.13,3,4,1,6,0,3,5,4,1,4," 22,381 "," 129,459 "
632," 64,480 ",54,73,4,4,3,2,3,3,11,0.12,3,4,0,20,4,2,4,3,0,3," 9,440 "," 55,040 "
1028," 89,440 ",43,87,3,3,3,3,1,8,4,0.16,3,1,1,10,1,2,1,0,0,0," 16,564 "," 72,876 "
2222," 156,000 ",45,112,4,4,3,2,4,9,8,0.14,3,1,2,12,3,3,10,9,9,8," 29,890 "," 126,110 "
728," 118,560 ",40,55,2,2,1,2,4,2,12,0.22,4,3,3,6,2,2,4,3,0,2," 30,707 "," 87,853 "
712," 160,160 ",29,86,4,2,1,1,1,1,6,0.11,3,4,0,7,4,2,7,7,0,7," 21,894 "," 138,266 "
720," 62,400 ",29,26,5,2,2,1,4,0,3,0.17,3,3,0,4,2,3,3,2,2,2," 13,198 "," 49,202 "
1388," 62,400 ",30,86,3,4,2,2,3,1,2,0.13,3,3,3,10,2,3,10,9,1,2," 9,741 "," 52,659 "
162," 116,480 ",27,51,4,2,3,2,2,1,11,0.18,3,1,1,8,3,3,8,7,0,7," 24,787 "," 91,693 "
1436," 126,880 ",37,12,2,4,3,2,4,7,2,0.16,3,3,2,8,2,2,6,2,0,4," 22,432 "," 104,448 "
2246," 191,360 ",38,80,2,3,2,3,4,0,12,0.14,3,2,1,12,3,3,11,10,2,9," 33,373 "," 157,987 "
1734," 81,120 ",31,76,4,3,3,3,4,1,3,0.14,3,3,0,11,2,2,11,9,4,10," 12,752 "," 68,368 "
2856," 81,120 ",29,50,1,4,2,2,2,1,10,0.14,3,1,2,7,2,3,7,7,1,7," 12,752 "," 68,368 "
1282," 128,960 ",35,78,4,3,3,3,2,0,2,0.13,3,4,0,17,5,3,16,6,0,13," 20,131 "," 108,829 "
590," 172,640 ",23,115,1,3,3,1,4,1,1,0.12,3,3,2,4,2,2,4,2,0,2," 25,274 "," 147,366 "
2186," 197,600 ",41,57,3,4,2,2,2,6,12,0.15,3,4,0,8,3,3,5,4,1,2," 38,038 "," 159,562 "
864," 205,920 ",47,9,1,2,3,2,3,3,3,0.19,3,1,0,5,3,3,0,0,0,0," 42,461 "," 163,459 "
1828," 91,520 ",42,45,5,1,3,4,4,2,9,0.14,3,2,0,16,2,3,1,0,0,0," 15,174 "," 76,346 "
292," 126,880 ",29,120,3,4,3,2,3,1,10,0.14,3,1,1,4,3,2,4,3,0,2," 24,310 "," 102,570 "
930," 108,160 ",42,30,1,3,3,1,3,0,8,0.11,3,3,1,4,5,3,3,2,1,0," 16,711 "," 91,449 "
600," 156,000 ",32,21,3,3,3,1,2,1,12,0.13,3,3,1,8,4,3,8,0,0,7," 24,352 "," 131,648 "
1220," 189,280 ",48,32,1,1,3,3,3,3,1,0.21,4,2,1,15,3,1,0,0,0,0," 48,721 "," 140,559 "
1138," 106,080 ",37,118,3,3,4,2,1,4,13,0.13,3,1,2,13,2,3,7,7,6,7," 18,405 "," 87,675 "
1914," 176,800 ",30,106,2,4,3,2,3,7,11,0.12,3,2,1,4,2,4,2,2,2,2," 24,328 "," 152,472 "
640," 118,560 ",26,36,3,3,3,2,3,1,3,0.17,3,2,1,8,3,3,8,7,7,7," 25,075 "," 93,485 "
2570," 203,840 ",42,17,4,1,2,2,4,3,14,0.23,4,2,0,14,6,3,1,0,0,0," 56,301 "," 147,539 "
2542," 205,920 ",21,41,1,1,2,1,2,1,9,0.11,3,3,0,3,3,3,3,2,1,2," 33,647 "," 172,273 "
1020," 93,600 ",36,42,5,4,3,2,4,4,7,0.15,3,2,0,7,6,3,1,0,0,0," 15,631 "," 77,969 "
124," 99,840 ",36,74,4,1,2,3,4,4,12,0.11,3,1,1,16,2,3,13,9,1,12," 15,425 "," 84,415 "
866," 183,040 ",57,115,4,4,3,2,3,2,10,0.11,3,3,0,15,2,3,3,2,1,2," 25,022 "," 158,018 "
62," 95,680 ",40,95,4,4,4,1,3,3,8,0.13,3,3,1,10,3,3,7,7,1,7," 14,936 "," 80,744 "
484," 81,120 ",21,23,2,1,3,1,4,1,2,0.24,4,3,0,3,3,2,3,2,2,2," 23,168 "," 57,952 "
1210," 70,720 ",33,15,3,4,3,1,3,1,3,0.13,3,2,0,1,2,3,1,0,0,0," 11,655 "," 59,065 "
430," 203,840 ",37,101,3,3,3,1,1,6,15,0.2,4,2,1,17,3,3,5,4,0,3," 44,029 "," 159,811 "
2900," 62,400 ",46,69,4,3,3,2,3,2,1,0.14,3,3,0,7,2,4,1,0,0,0," 10,883 "," 51,517 "
52," 116,480 ",41,28,3,1,3,2,2,1,14,0.18,3,3,0,8,5,3,8,7,7,7," 24,787 "," 91,693 "
1682," 208,000 ",50,72,3,4,2,3,4,6,10,0.15,3,4,0,20,2,3,4,3,1,3," 38,272 "," 169,728 "
2054," 141,440 ",40,100,2,3,2,2,3,2,8,0.12,3,1,2,8,6,3,6,4,1,0," 20,707 "," 120,733 "
1796," 87,360 ",31,27,4,3,2,1,2,0,10,0.16,3,4,0,3,5,3,2,2,2,2," 16,913 "," 70,447 "
1362," 187,200 ",21,100,3,3,4,1,2,1,14,0.15,3,4,0,1,0,3,1,0,0,0," 36,036 "," 151,164 "
1354," 112,320 ",29,14,3,4,3,1,4,9,1,0.16,3,4,0,6,4,3,3,2,1,2," 22,689 "," 89,631 "
684," 201,760 ",35,58,4,3,2,2,2,9,12,0.19,3,3,0,10,5,3,1,1,0,0," 48,140 "," 153,620 "
544," 170,560 ",27,10,2,4,3,1,2,1,5,0.11,3,2,1,5,2,3,5,2,0,4," 24,834 "," 145,726 "
1500," 191,360 ",28,122,4,2,3,2,4,1,4,0.16,3,4,0,7,1,3,7,5,0,7," 40,262 "," 151,098 "
2920," 64,480 ",49,94,3,2,2,3,3,8,14,0.24,4,3,0,26,2,3,5,2,0,0," 17,925 "," 46,555 "
1100," 180,960 ",51,80,2,3,3,2,4,4,7,0.11,3,3,1,18,2,2,7,7,0,7," 24,737 "," 156,223 "
1440," 199,680 ",36,87,3,4,3,1,3,4,10,0.13,3,2,1,6,3,3,2,2,2,2," 36,382 "," 163,298 "
2330," 139,360 ",34,39,3,1,4,2,4,8,11,0.13,3,2,0,9,3,2,5,2,0,4," 20,542 "," 118,818 "
2132," 201,760 ",55,19,3,3,3,4,4,2,4,0.13,3,3,0,30,2,3,5,4,1,2," 31,495 "," 170,265 "
1568," 160,160 ",24,66,4,4,3,2,3,1,13,0.12,3,4,1,5,2,4,5,2,0,3," 24,857 "," 135,303 "
1636," 149,760 ",30,68,1,3,3,1,2,1,10,0.18,3,1,1,1,3,3,1,0,0,0," 29,413 "," 120,347 "
2882," 151,840 ",26,80,1,3,3,1,1,0,11,0.22,4,3,0,7,2,3,6,4,0,4," 35,774 "," 116,066 "
64," 89,440 ",22,70,3,1,3,1,2,1,15,0.13,3,4,1,2,1,3,2,1,1,2," 13,183 "," 76,257 "
2842," 126,880 ",36,9,2,2,2,3,3,1,15,0.13,3,2,2,10,2,3,10,9,9,0," 20,910 "," 105,970 "
1698," 83,200 ",30,35,3,3,3,1,4,9,4,0.23,4,3,0,3,4,3,1,0,0,0," 22,339 "," 60,861 "
982," 197,600 ",37,121,3,4,3,1,1,1,11,0.12,3,3,1,18,2,2,18,7,12,17," 27,190 "," 170,410 "
2202," 95,680 ",40,50,2,4,3,2,2,7,2,0.12,3,3,2,8,5,3,5,4,1,3," 14,008 "," 81,672 "
736," 197,600 ",42,63,4,2,3,1,1,3,11,0.16,3,2,1,8,5,3,5,2,1,2," 36,596 "," 161,004 "
746," 101,920 ",37,55,4,3,3,2,2,2,13,0.12,3,4,0,18,2,2,1,0,0,1," 14,921 "," 86,999 "
1694," 122,720 ",43,75,3,1,2,4,2,1,8,0.11,3,3,1,25,3,3,25,10,3,9," 18,960 "," 103,760 "
86," 162,240 ",40,17,3,2,2,2,3,6,2,0.22,4,2,1,20,3,3,1,0,0,0," 40,755 "," 121,485 "
2522," 178,880 ",54,91,2,1,3,5,1,4,4,0.11,3,3,1,24,4,2,4,2,1,2," 27,637 "," 151,243 "
2116," 149,760 ",34,33,4,3,3,2,3,9,4,0.15,3,1,1,6,3,3,3,2,1,2," 28,829 "," 120,931 "
1910," 64,480 ",31,116,2,2,3,2,1,1,13,0.12,3,2,1,13,5,1,13,10,3,12," 10,007 "," 54,473 "
2256," 126,880 ",43,27,3,4,3,1,4,7,9,0.2,4,1,1,8,1,3,3,2,1,2," 27,406 "," 99,474 "
1058," 153,920 ",43,88,4,3,3,2,3,4,11,0.14,3,4,0,8,3,3,5,2,0,2," 24,196 "," 129,724 "
336," 205,920 ",25,86,2,2,2,2,4,1,6,0.11,3,2,0,5,3,3,5,4,1,3," 26,317 "," 179,603 "
1278," 149,760 ",37,70,5,2,3,2,3,3,4,0.15,3,1,2,15,2,3,13,11,10,7," 25,010 "," 124,750 "
2356," 203,840 ",31,59,2,4,2,1,1,1,3,0.12,3,3,1,4,3,3,4,2,3,2," 31,636 "," 172,204 "
94," 108,160 ",39,54,1,2,3,5,3,1,2,0.14,3,3,1,21,3,3,21,8,1,6," 17,003 "," 91,157 "
2008," 178,880 ",56,29,3,3,4,4,1,9,12,0.11,3,4,3,36,0,2,7,7,7,7," 26,045 "," 152,835 "
706," 172,640 ",30,117,3,2,3,2,3,0,10,0.11,3,2,0,6,6,3,5,4,4,4," 25,136 "," 147,504 "
2212," 101,920 ",41,55,3,2,4,3,1,1,1,0.16,3,3,1,10,2,3,10,7,0,7," 18,876 "," 83,044 "
2450," 164,320 ",28,33,2,3,3,2,1,1,4,0.12,3,4,1,10,2,3,10,0,1,8," 26,948 "," 137,372 "
2868," 189,280 ",25,71,3,1,3,1,1,5,7,0.13,3,3,1,6,5,3,2,2,0,2," 31,193 "," 158,087 "
286," 81,120 ",52,70,3,4,2,3,3,2,9,0.14,3,3,0,28,4,3,5,4,0,4," 12,752 "," 68,368 "
2204," 143,520 ",45,108,2,1,3,1,4,3,5,0.21,4,4,2,8,3,2,2,2,0,2," 34,674 "," 108,846 "
2540," 62,400 ",52,81,2,4,3,4,4,2,12,0.13,3,4,0,31,2,1,5,2,1,4," 10,826 "," 51,574 "
2476," 191,360 ",42,10,2,1,3,2,3,2,2,0.11,3,2,1,19,3,3,5,4,0,2," 26,159 "," 165,201 "
718," 89,440 ",30,46,3,3,1,2,4,2,14,0.2,4,3,0,11,2,3,5,4,0,2," 21,466 "," 67,974 "
934," 85,280 ",60,105,3,1,3,5,1,5,2,0.11,3,4,0,33,5,1,29,8,11,10," 13,935 "," 71,345 "
1882," 180,960 ",46,72,3,3,3,2,3,2,7,0.14,3,3,1,19,5,2,10,7,0,8," 33,116 "," 147,844 "
1080," 183,040 ",42,72,4,4,2,2,4,0,3,0.11,3,4,3,7,4,4,6,5,0,4," 26,651 "," 156,389 "
1270," 128,960 ",24,107,1,1,3,1,2,1,6,0.16,3,2,0,6,4,3,5,3,1,4," 22,800 "," 106,160 "
1876," 68,640 ",34,56,2,4,1,1,3,0,7,0.16,3,4,1,3,3,2,2,2,1,0," 12,136 "," 56,504 "
